Time,Date,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering,Laundering_type,total_transaction_amount,interaction_count
10:38:31,2022-07-10,<seal.Ciphertext object at 0x0000026915BAE2B0>,<seal.Ciphertext object at 0x0000026915BB24B0>,284.79,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out,13171413.12,1666
10:39:37,2022-07-10,<seal.Ciphertext object at 0x0000026915BAE2B0>,<seal.Ciphertext object at 0x0000026915BB24B0>,7202.85,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out,13171413.12,1666
10:39:53,2022-07-10,<seal.Ciphertext object at 0x0000026915BAE2B0>,<seal.Ciphertext object at 0x0000026915BB24B0>,20181.46,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group,13171413.12,1666
10:40:36,2022-07-10,<seal.Ciphertext object at 0x0000026915BAE2B0>,<seal.Ciphertext object at 0x0000026915BB24B0>,8024.41,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out,13171413.12,1666
10:41:04,2022-07-10,<seal.Ciphertext object at 0x0000026915BAE2B0>,<seal.Ciphertext object at 0x0000026915BB24B0>,12942.48,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out,13171413.12,1666
10:41:19,2022-07-10,<seal.Ciphertext object at 0x0000026915BAE2B0>,<seal.Ciphertext object at 0x0000026915BB24B0>,4702.76,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out,13171413.12,1666
10:41:37,2022-07-10,<seal.Ciphertext object at 0x0000026915BAE2B0>,<seal.Ciphertext object at 0x0000026915BB24B0>,557.13,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out,13171413.12,1666
10:43:35,2022-07-10,<seal.Ciphertext object at 0x0000026915BAE2B0>,<seal.Ciphertext object at 0x0000026915BB24B0>,10941.94,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In,13171413.12,1666
10:46:31,2022-07-10,<seal.Ciphertext object at 0x0000026915BAE2B0>,<seal.Ciphertext object at 0x0000026915BB24B0>,6548.26,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In,13171413.12,1666
10:46:40,2022-07-10,<seal.Ciphertext object at 0x0000026915BAE2B0>,<seal.Ciphertext object at 0x0000026915BB24B0>,10272.73,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out,13171413.12,1666
10:47:36,2022-07-10,<seal.Ciphertext object at 0x0000026915BAE2B0>,<seal.Ciphertext object at 0x0000026915BB24B0>,194.09,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out,13171413.12,1666
10:48:45,2022-07-10,<seal.Ciphertext object at 0x0000026915BAE2B0>,<seal.Ciphertext object at 0x0000026915BB24B0>,24141.25,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group,13171413.12,1666
10:49:00,2022-07-10,<seal.Ciphertext object at 0x0000026915BAE2B0>,<seal.Ciphertext object at 0x0000026915BB24B0>,13269.07,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Foward,13171413.12,1666
10:50:14,2022-07-10,<seal.Ciphertext object at 0x0000026915BAE2B0>,<seal.Ciphertext object at 0x0000026915BB24B0>,4855.67,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In,13171413.12,1666
10:52:40,2022-07-10,<seal.Ciphertext object at 0x0000026915BAE2B0>,<seal.Ciphertext object at 0x0000026915BB24B0>,640.23,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out,13171413.12,1666
10:53:37,2022-07-10,<seal.Ciphertext object at 0x0000026915BAE2B0>,<seal.Ciphertext object at 0x0000026915BB24B0>,5369.5,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out,13171413.12,1666
10:53:44,2022-07-10,<seal.Ciphertext object at 0x0000026915BAE2B0>,<seal.Ciphertext object at 0x0000026915BB24B0>,1624.51,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out,13171413.12,1666
10:53:56,2022-07-10,<seal.Ciphertext object at 0x0000026915BAE2B0>,<seal.Ciphertext object at 0x0000026915BB24B0>,228.08,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out,13171413.12,1666
10:56:03,2022-07-10,<seal.Ciphertext object at 0x0000026915BAE2B0>,<seal.Ciphertext object at 0x0000026915BB24B0>,5825.57,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out,13171413.12,1666
10:56:23,2022-07-10,<seal.Ciphertext object at 0x0000026915BAE2B0>,<seal.Ciphertext object at 0x0000026915BB24B0>,14919.17,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Periodical,13171413.12,1666
10:57:18,2022-07-10,<seal.Ciphertext object at 0x0000026915BAE2B0>,<seal.Ciphertext object at 0x0000026915BB24B0>,1524.31,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out,13171413.12,1666
11:00:37,2022-07-10,<seal.Ciphertext object at 0x0000026915BAE2B0>,<seal.Ciphertext object at 0x0000026915BB24B0>,4337.45,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out,13171413.12,1666
